
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
"понедельник, марта 3, 2025",2355,"60,7","7,711","277,37","15,09","30,29","173,28","1020,26",794,1003
 Завтрак,417,"25,89","6,184","13,24","1,8","4,79","32,21",796,684,519
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Империя Вкуса Ветчина с Индейкой 3%,100,"3,6",,6,,,"10,8",,,
   120 г
  Жареное Яйцо,291,"22,04","6,131","1,4",0,"1,25","20,34",777,684,218
   150 г
  Морковь,8,"0,05","0,007","1,92","0,6","0,91","0,19",14,0,64
   20 г
 Обед,609,"5,48","0,627","76,25",0,0,"58,87",124,110,484
  Степь Агрохолдинг Гречка,400,"3,12",,"76,25",,,15,,,
   125 г
  Куриные Грудки,209,"2,36","0,627",0,0,0,"43,87",124,110,484
   190 г
 Ужин,,,,,,,,,,
 Перекус/Другое,1329,"29,33","0,9","187,88","13,29","25,5","82,2","100,26",,
"  Ne Moloko Овсяное Классическое 3,2%",175,8,,"23,75",5,"7,5","2,5",100,,
   250 мл
  Bombbar Casein,120,"0,58",,"0,7",,,"28,01",,,
   35 г
  Ясная Поляна Тульский Пряник с Фруктовой Начинкой,518,"9,1",,"102,2",,,"8,4",,,
   140 г
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г
  Natty's Арахисовая Паста Кранчи,92,"7,35","0,75","3,15","1,05",0,"3,6","0,26",,
   15 г
  Хлебцы Молодцы Хлебцы Цельнозерновые Фитнес Линия,42,"0,34",,"8,56","1,5",,"1,52",,,
"   3 x 1 хлебец, 15 г"
  Parmalat Молоко Безлактозное 0.05 %,83,"0,13",,"12,22",,,"8,32",,,
   260 г
  Snaq Fabriq Whey Protein,165,"3,68",,"4,6","1,84",,"27,6",,,
   46 г

"вторник, марта 4, 2025",2200,"66,18","11,448","215,97","10,91","23,38","177,96","2405,82",1139,1889
 Завтрак,511,"32,61","7,812","13,19","1,2","4,21","40,14",989,866,513
  Жареное Яйцо,369,"27,91","7,766","1,77",0,"1,58","25,76",984,866,276
   190 г
  Империя Вкуса Ветчина с Индейкой 3%,124,"4,5",,"7,5",,,"13,5",,,
   150 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
 Обед,476,"2,8","0,627","60,46",0,0,"49,37",124,110,484
  Global Village Руккола,3,"0,04",,"0,46",,,"0,3",,,
   20 г
  Селяночка Рис Круглозёрный Шлифованный,264,"0,4",,60,,,"5,2",,,
   80 г
  Куриные Грудки,209,"2,36","0,627",0,0,0,"43,87",124,110,484
   190 г
 Ужин,536,"5,8","1,319","42,64","2,15","1,17","73,04","332,5",163,892
  Куриные Грудки,308,"3,47","0,924",0,0,0,"64,65",182,162,714
   280 г
  Barilla Макароны,180,1,,"34,85","1,35",,7,"2,5",,
   50 г
  Запеченный Картофель,48,"1,33","0,395","7,79","0,8","1,17","1,39",148,1,178
   50 г
 Перекус/Другое,677,"24,97","1,69","99,68","7,56",18,"15,41","960,32",,
  Nestle Goodmix Original,211,"11,2",,"24,8",,,"2,44",,,
   40 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,110,"8,82","0,9","3,78","1,26",0,"4,32","0,32",,
   18 г
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г

"среда, марта 5, 2025",2269,"60,48","1,104","290,77","35,46","31,5","137,73","565,5",0,738
 Завтрак,669,"14,26","0,185","116,19","22,25","31,11","19,87","252,5",0,672
"  не Молоко Овсяное Молоко Классическое 3,2%",165,8,,"16,25","9,75",,"7,5",250,,
   250 мл
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Ясно Солнышко Овсяные Хлопья #2,304,"5,6",,48,8,,"10,4",,,
   80 г
  Яблоко Зеленое,66,"0,21","0,035","17,44",3,"13,11","0,32",1,0,135
   150 г
